istasyon_adi,lat,lon,brand,has_lpg,has_charge
KARCAN AKARYAKIT DAĞITIM LİMİTED ŞİRKETİ,40.7792,31.2849,Alpet,True,False
MUSA GÖNCÜ,39.046604,33.082047,Alpet,True,False
NM HAYVANCILIK TARIM GIDA TURİZM AKARYAKIT İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.181696,34.9582,Alpet,True,False
ÖZHANEDAR TARIM ÜRÜNLERİ GÜBRE ZİRAİ ALET GIDA MADDELERİ PETROL ÜRÜNLERİ DAYANIKLI TÜKETİM MADDELERİ AYAKKABICILIK OTOMOTİV İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ,39.53824,32.61101,Alpet,True,False
ÇETİNKAYA AKARYAKIT SANAYİ TİC.A.Ş.,36.9911,35.172,Alpet,True,False
ÖRSAN AKARYAKIT NAKLİYAT İNŞAAT VE TİCARET LİMİTED ŞİRKETİ,41.3508113,27.0960413,Alpet,False,False
MİRHA AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.2134,34.0194,Alpet,False,False
ÇİLEK AKARYAKIT SANAYİ VE TİCARET ANONİM ŞİRKETİ,41.085087,31.17568,Alpet,True,False
DAĞLIOĞLU 51 AKARYAKIT LOJİSTİK OTOMOTİV TARIM İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.8487,34.4126,Alpet,True,False
MURAT GÜLTEN AKARYAKIT OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.95477,35.313641,Alpet,False,False
MİS PETROL SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.970318,35.316357,Alpet,True,False
ŞENBAYRAK OTOMOTİV PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.993702,35.298672,Alpet,True,False
ERDEMLİ AKARYAKIT OTOMOTİV GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.965836,27.372543,Alpet,True,False
