istasyon_adi,lat,lon,brand
ŞENBAYRAK OTOMOTİV PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.993702,35.298672,Alpet
ERDEMLİ AKARYAKIT OTOMOTİV GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.965836,27.372543,Alpet
HASAL ENERJİ ÜRETİMİ İZOLASYON ARITMA PETROL ÜRÜNLERİ İNŞAAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.432571,34.876269,Alpet
SEYHANTEPE PETROL VE TİCARET ANONİM ŞİRKETİ,36.989273,35.3269,Alpet
SO PETROL GIDA NAKLİYAT İHRACAT İTHALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.5033,34.8151,Alpet
AKSARAY TIR NAKLİYAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.35328,33.97205,Alpet
HÜSEYİN KAYA,37.8983,30.3752,Alpet
AVARLAR ZİRAİ ÜRÜN.İNŞ.TAŞ. TİCARET LİMİTED ŞİRKETİ,36.137577,36.232925,Alpet
SARAYÜSTÜ PETROL ÜRÜNLERİ TURİZM İNŞAAT TARIM VE HAYVANCILIK TİCARET VE SANAYİ LİMİTED ŞİRKETİ,41.685326,26.5649,Alpet
VEZİROĞLU PETROL LPG DAYANIKLI TÜKETİM MADDELERİ TURİZM İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.436165,35.980331,Alpet
SONGÜL DEMİREL,40.96563,31.453606,Alpet
MEHMET ÖNEMLİ,38.409706,34.010994,Alpet
SADIK OTOMOTİV AKARYAKIT EV ALETLERİ TURİZM TEKSTİL GIDA MARKET LOKANTA İŞLETMECİLİĞİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.0607,30.1583,Alpet
GEÇİCİLER DENİZ ÜRÜN LERİ AKARYAKIT TURİZM SA NAYİ VE TİCARET ANONİM ŞİRKETİ,40.302784,27.837198,Alpet
GEÇİCİLER PETROL TANKER 10NN066,40.302784,27.837198,Alpet
VASFİ AKKIR - KÖY POMPASI,37.84185,34.668333,Alpet
DOĞAN BUYRUK TARIM MAKİNELERİ OTOMOTİV PETROL İNŞAAT MÜHENDİSLİK VE DANIŞMANLIK HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.7056,32.8147,Alpet
ALBAYRAK LOJİSTİK PETROL TURİZM İNŞAAT TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.75564,31.781227,Alpet
ALAPLI TEKYIL PETROL ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.170976,31.37098,Alpet
ÖZERLER OTOMOTİV VE PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ,41.17374,31.382566,Alpet
MİS PETROL SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.969404,35.591609,Alpet
HÜSEYİN TEMEL,38.9341,33.6423,Alpet
İBRAHİM TUNÇ,36.91354350121757,31.142197099784827,Alpet
ŞERİFE AKBAŞ,37.516026,30.530485,Alpet
İBRAHİM TUNÇ,36.9100133224516,31.12766385208487,Alpet
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,39.9455,32.7113,Alpet
ÖZ-CAN PETROL NAKLİYE TİCARET LİMİTED ŞİRKETİ,39.095047,33.563867,Alpet
ÖZ SÜMER TARIM HAUVANCILIK PETROL ÜRÜNLERİ İNŞAAT NAKLİYE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.68,33.0,Alpet
TANKAR OTOMOTİV PETROL GIDA TEKSTİL HİZMET İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.1531,29.7837,Alpet
ATAHASAN TAŞIMACILIK GIDA CANLI HAYVAN VE TARIM ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,39.894800000000004,32.8125,Alpet
TEKTAR PETROL SANAYİ TİCARET LİMİTED ŞİRKETİ,37.988152,34.724216,Alpet
AHMET KOCABIYIK PETROL ÜRÜNLERİ NAKLİYE VE TİCARET LİMİTED ŞİRKETİ,40.050632,27.849588,Alpet
ÖZ SEÇMENLER PETROL ÇIRÇIR ULUSLARARASI NAKLİYAT EĞİTİM HİZMETLERİ TURİZM OTELCİLİK TARIM ÜRÜNLERİ HAYVANCILIK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.366352,36.447742,Alpet
UZEL TARIM VE PETROL ÜRÜNLERİ MOTORLU TAŞITLAR GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.035587,35.797195,Alpet
DOĞU KARDEŞLER PETROL ÜRÜNLERİ YAĞLAMA YIKAMA MARKET LOKANTACILIK KANTAR YEDEK PARÇA OTO TRAKTÖR ALIM SATIM KOMİSYONU LASTİK VE TOPRAK MAHSÜLLERİ KİMYA VE NAKLİYAT LİMİTED ŞİRKETİ,37.250758,35.655121,Alpet
ŞENOL EREN,36.957770000000004,30.766831,Alpet
GEZERKAYA PETROL TARIM HAYVANCILIK İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,38.2383,34.70039,Alpet
PATİR PETROL TİCARET VE SANAYİ LİMİTED ŞİRKETİ,40.101162,32.927841,Alpet
İYİGÜN PETROL ÜRÜNLERİ LİMİTED ŞİRKETİ,39.958171,33.078708,Alpet
LVN AKARYAKIT İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,39.9599,33.0893,Alpet
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,39.6726,27.8899,Alpet
TATOĞLU YAPI AKARYAKIT LPG ÜRÜNLERİ İNŞAAT TAAHHÜT NAKLİYE MAKİNA OTOMOTİV GIDA İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.3987,31.6843,Alpet
YAVUZ GIDA VE UN SANAYİ TİCARET ANONİM ŞİRKETİ,38.552,34.5369,Alpet
